codSubclase,Descripción,"Estado (1-Inactivo, 2-Activo)"
000100000,Unidades patrimoniales (sin actividad productiva) utilizadas para sucesorios,2
000200000,Unidades patrimoniales (sin actividad productiva) utilizadas para registrar bienes muebles de uso propio,2
000300000,Unidades patrimoniales (sin actividad productiva) utilizadas para registrar bienes inmuebles de uso propio,2
000900000,"Unidades patrimoniales (sin actividad productiva), no contemplado en otra actividad asociada",2
010009000,Agricultura varios cultivos,2
011101000,Cultivo de frijoles,2
011102000,Cultivo de maíz,2
011109001,Cultivo de trigo,2
011109002,Cultivo de sorgo,2
011109003,Cultivo de cebada,2
011109004,Cultivo de centeno,2
011109005,Cultivo de avena,2
011109006,Cultivo de mijo,2
011109007,Cultivo de habas,2
011109008,Cultivo de garbanzos,2
011109009,Cultivo de caupíes,2
011109010,Cultivo de lentejas,2
011109011,Cultivo de altramuces,2
011109012,Cultivo de guisantes (arvejas),2
011109013,Cultivo de guandúes,2
011109014,Cultivo de vainicas,2
011109015,Cultivo de soya,2
011109016,Cultivo de maní,2
011109017,Cultivo de semillas de ricino,2
011109018,Cultivo de semillas de linaza,2
011109019,Cultivo de semillas de mostaza,2
011109020,Cultivo de semillas de níger,2
011109021,Cultivo de semillas de colza,2
011109022,Cultivo de semillas de cártamo,2
011109023,Cultivo de semillas de sésamo,2
011109024,Cultivo de semillas de girasol,2
011109025,Cultivo de semillas de alforfón,2
011109026,Cultivo de semillas de algodón,2
011109090,Cultivo de otros cereales no contemplado en otra actividad asociada,2
011109091,Cultivo de otras legumbres no contemplado en otra actividad asociada,2
011109092,Cultivo de otras semillas oleaginosas no contemplado en otra actividad asociada,2
011199001,Cultivo mixto de varios cereales,2
011199002,Cultivo mixto de varias legumbres,2
011199003,Cultivo mixto de varias semillas oleaginosas,2
011199004,"Cultivo mixto de cereales (excepto arroz), legumbres y semillas oleaginosas",2
011200000,Cultivo de arroz,2
011301000,Cultivo de sandía,2
011302000,Cultivo de melón,2
011303000,Cultivo de cebolla de cualquier tipo,2
011304000,Cultivo de chayote incluso el cultivo del chayote orgánico y el cultivo del chayote genéticamente modificado.,2
011305000,Cultivo de todo tipo de papa,2
011306000,Cultivo de yuca o mandioca,2
011309001,Cultivo de achicoria,2
011309002,Cultivo de ajillo,2
011309003,Cultivo de ajo,2
011309004,Cultivo de alcachofas,2
011309005,Cultivo de apio,2
011309006,Cultivo de arracache,2
011309007,Cultivo de ayote,2
011309008,Cultivo de berenjena,2
011309009,Cultivo de brócoli,2
011309010,Cultivo de camote,2
011309011,Cultivo de champiñones,2
011309012,Cultivo de chiverre,2
011309013,Cultivo de coliflor,2
011309014,Cultivo de culantro,2
011309015,Cultivo de espárragos,2
011309016,Cultivo de espinacas,2
011309017,Cultivo de lechuga,2
011309018,Cultivo de malanga,2
011309019,Cultivo de nabo,2
011309020,Cultivo de ñame,2
011309021,Cultivo de ñampí,2
011309022,Cultivo de pepinillo,2
011309023,Cultivo de pepino,2
011309024,Cultivo de pipián,2
011309025,Cultivo de puerro,2
011309026,Cultivo de rábano,2
011309027,Cultivo de raíz,2
011309028,Cultivo de remolacha azucarera,2
011309029,Cultivo de repollo,2
011309030,Cultivo de setas,2
011309031,Cultivo de tallo de verduras,2
011309032,Cultivo de tiquizque,2
011309033,Cultivo de tomate,2
011309034,Cultivo de trufa,2
011309035,Cultivo de zanahorias,2
011309036,Cultivo de zapallo,2
011309037,Cultivo de hongos,2
011309090,"Cultivo de otras hortalizas, raíces de tubérculos no contemplado en otra actividad asociada",2
011399001,"Cultivo mixto de hortalizas y melones, cuando no se identifica el cultivo de un producto como actividad principal.",2
011399002,"Cultivo mixto de hortalizas y tubérculos, cuando no se identifica el cultivo de un producto como actividad principal.",2
011399003,"Cultivo mixto de hortalizas, cuando no se identifica el cultivo de un producto como actividad principal.",2
011400000,Cultivo de caña de azúcar,2
011500000,Cultivo de tabaco,2
011600001,Cultivo de algodón,2
011600002,Cultivo de yute,2
011600003,Cultivo de kenaf,2
011600004,Cultivo de lino,2
011600005,Cultivo de cáñamo,2
011600006,Cultivo de cabuya,2
011600007,Cultivo de sisal,2
011600008,Cultivo de otras plantas de fibras textiles del género agave,2
011600009,Cultivo de abacá,2
011600010,Cultivo de ramio,2
011600011,Cultivo de otras plantas de fibras textiles,2
011600090,Cultivo de otras plantas de fibras no contemplado en otra actividad asociada,2
011699000,Cultivo mixto de plantas de fibras,2
011901000,"Cultivo de flores, incluida la producción de flores cortadas y capullos y semillas de flores (excepto el cultivo de semilla de girasol)",2
011902000,Cultivo de follaje (hoja de árbol y planta),2
011909001,"Cultivo de remolacha forrajera, raíces forrajeras, trébol, alfalfa, maíz y otras plantas forrajeras.",2
011909002,Cultivo de semillas de remolacha (excepto las de remolacha azucarera) y semillas de plantas forrajeras.,2
011909090,Cultivo de otras plantas no perennes y perennes (excepto Flores y Follajes) no contemplado en otra actividad asociada,2
011999000,Cultivo mixto de otras plantas no perennes,2
012100000,Cultivo de uvas,2
012201000,Cultivo de banano,2
012202000,Cultivo de plátano,2
012203000,Cultivo de piña,2
012209001,Cultivo de papaya,2
012209002,Cultivo de aguacate,2
012209003,Cultivo de anona,2
012209004,Cultivo de caimito,2
012209005,Cultivo de cas,2
012209006,Cultivo de dátil,2
012209007,Cultivo de fruta de pan,2
