CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
1,Canciller,2
2,Diputado,2
3,Legislador,2
4,Magistrado,2
5,Ministro de gobierno,2
6,Presidente de Asamblea Legislativa,2
7,Presidente de Corte Suprema de Justicia,2
8,Presidente de la República,2
9,Presidente de tribunal de justicia,2
10,Presidente de Tribunal Supremo de Elecciones,2
11,Secretario general de Corte Suprema de Justicia,2
12,Vicepresidente de la República,2
13,Alcalde municipal,2
14,Secretario de Estado,2
15,Presidente ejecutivo de institución pública,2
16,Cónsul ,2
17,Contralor General de la República,2
18,Defensor de los Habitantes,2
19,Embajador,2
20,Presidente del Banco Central,2
21,Procurador general adjunto,2
22,Subcontralor General de la República,2
23,Viceministro de gobierno,2
24,Director general de administración de correos,2
25,Director general de administración penitenciaria,2
26,Director general de la cancillería,2
27,Director general de Tributación Directa,2
28,Director general del O.I.J.,2
29,Gerente general de institución pública ,2
30,Subdirector de institución pública ,2
31,Subdirector general de la administración pública,2
32,Directivo en institución pública,2
33,Regidor municipal,2
34,Síndico,2
35,Director de la Fuerza Pública,2
36,Fiscal General ,2
37,Gerente institución pública,2
38,Subgerente institución pública,2
39,Procurador general ,2
40,Miembro de consejo directivo de institución pública,2
41,Jefe de pequeña población,2
42,Cacique indígena,2
43,Administrador de asociación solidarista,2
44,Administrador de empresa cooperativa,2
45,Director de empresa cooperativa,2
46,Dirigente de organización de empleadores,2
47,Dirigente de organización socioeconómica especializada,2
48,Dirigente de partido político,2
49,Dirigente de sindicato de trabajadores,2
50,Presidente de organización de empleadores,2
51,Presidente de partido político,2
52,Secretario de organización de empleadores,2
53,Secretario de partido político,2
54,Secretario de sindicato de trabajadores,2
55,Secretario general de organización de empleadores,2
56,Secretario general de partido político,2
57,Secretario general de sindicato de trabajadores,2
58,Dirigente de organización humanitaria,2
59,Secretario general de Cruz Roja,2
60,Secretario general de organización de derechos humanos,2
61,Secretario general de organización de protección de la fauna,2
62,Secretario general de organización de protección de la naturaleza,2
63,Secretario general de organización de protección del medio ambiente,2
64,Secretario general de organización ecologista,2
65,Secretario general de organización humanitaria,2
66,Dirigente de organización sin fines de lucro,2
67,Directivo de sindicato,2
68,Directivo de cooperativa ,2
69,Directivo de organización sin fines de lucro,2
70,Administrador de organización intergubernamental  ,2
71,Director de institución de cooperación internacional ,2
72,Director de organización ecologista,2
73,Directivo de colegios de profesionales,2
74,Dirigente de organización empresarial,2
75,Dirigente de organización ecologista,2
76,Director regional de empresa,2
77,Director general de empresa,2
78,Gerente general de empresa,2
79,Director de empresa pública ,2
80,Miembro de junta directiva de empresa,2
81,Presidente ejecutivo de empresa privada,2
82,Presidente ejecutivo de empresa pública,2
83,Gerente general de banco,2
84,Gerente general de entidad bancaria,2
85,Director de departamento contabilidad ,2
86,Director de departamento de presupuesto ,2
87,Director financiero,2
88,Director de contabilidad,2
89,Gerente financiero,2
90,Director de departamento de finanzas,2
91,Gerente recursos humanos ,2
92,Director de recursos humanos,2
93,Jefe de recursos humanos,2
94,Coordinador de área de recursos humanos,2
95,Gerente de personal,2
96,Director de  planificación,2
97,Gerente de planificación,2
98,Jefe de  planificación ,2
99,Coordinador de planificación,2
100,Director de departamento de administración empresa privada,2
101,Gerente de planeamiento estratégico,2
102,Gerente de planeamiento corporativo,2
103,Gerente de servicios de limpieza,2
104,Gerente de servicios administrativos,2
105,Gerente de mantenimiento,2
106,Director de mantenimiento,2
107,Director de departamento de comercialización ,2
108,Director de departamento de ventas ,2
109,Gerente de ventas,2
110,Jefe de ventas ,2
111,Director de comercialización,2
112,Gerente de comercialización,2
113,Gerente de marketing,2
114,Gerente de mercadeo,2
115,Director de departamento de publicidad,2
116,Director de departamento de relaciones públicas,2
117,Director de publicidad,2
118,Gerente de relaciones públicas,2
119,Gerente de publicidad,2
120,Gerente de marca o producto,2
121,Director de departamento de  investigación y desarrollo,2
122,Gerente de investigación,2
123,Gerente desarrollo de productos,2
124,Gerente de finca,2
125,Administrador de plantación,2
126,Administrador forestal   ,2
127,Gerente de empresa de agricultura  ,2
128,Gerente de empresa de explotación forestal  ,2
129,Gerente de silvicultura ,2
130,Gerente de empresa de silvicultura,2
131,Gerente de empresa agrícola,2
132,Gerente de producción agrícola,2
133,Director de departamento de producción y operaciones de pesca,2
134,Director  de  producción  piscicultura,2
135,Director de producción de empresa pesquera,2
136,Director de empresa pesquera,2
137,Administrador empresa pesquera,2
138,Gerente de empresa de pesca,2
139,Gerente de empresa piscicultura,2
140,Director de operaciones de pesca,2
141,Director de  producción y operaciones de  manufactura,2
142,Gerente de empresa de industria manufacturera,2
143,Gerente de pequeña empresa industrial,2
144,Gerente de producción,2
145,Gerente producción manufacturera,2
146,Jefe de producción,2
147,Gerente de fábrica,2
148,Administrador de fábrica,2
149,Jefe de agroindustria,2
150,Gerente de industria manufacturera ,2
151,Jefe de planta producción industrial,2
152,Gerente de mina,2
153,Gerente de producción (extracción de petróleo y gas),2
154,Gerente de producción minera ,2
155,Gerente cantera ,2
156,Gerente de producción en canteras,2
157,Director operaciones de construcción ,2
158,Gerente de empresa de construcción,2
159,Gerente de empresa constructora,2
160,Gerente de constructora,2
161,Gerente de proyectos de construcción ,2
162,Director de departamento de abastecimiento,2
163,Director de departamento de almacenamiento,2
164,Director de departamento de compras,2
165,Director de departamento de distribución,2
166,Director de departamento  operaciones  de almacenamiento,2
167,Director de departamento  transporte,2
168,Director operaciones / transporte (gasoductos y oleoductos),2
169,Director de departamento operaciones de transporte pasajeros,2
170,Gerente de compras,2
171,Gerente de empresa de almacenamiento,2
172,Gerente de empresa de transporte,2
173,Jefe proveeduría ,2
174,Administrador de empresa de logística,2
175,Gerente de aduana,2
176,Administrador de empresa de transporte,2
177,Administrador de almacén fiscal,2
178,Gerente de logística,2
179,Gerente de transportes,2
180,Director de transportes,2
181,Gerente de compras,2
182,Director de departamento de informática ,2
183,Director de informática,2
184,Coordinador de área informática,2
185,Gerente de desarrollo de aplicaciones informáticas,2
186,Gerente de desarrollo TIC ,2
187,Director de sistemas de informáticos,2
188,Gerente de tecnología de la información (TIC),2
189,Gerente centro de cuidado infantil ,2
190,Administrador centro de cuidado infantil ,2
191,Director de centro de cuidado infantil,2
192,Director de guardería infantil,2
193,Gerente de servicios de salud,2
194,Jefe de departamento medicina legal,2
195,Médico jefe de centro de salud,2
196,Director de servicios de salud,2
197,Administrador de hospital,2
198,Administrador de clínica,2
199,Administrador de laboratorio clínico,2
200,Director de clínica,2
201,Jefe de enfermería,2
202,Rector de área de salud,2
203,Director de área de salud,2
204,Jefe de servicios de salud de CCSS,2
205,Director hogar de ancianos ,2
206,Director centro diurno para adultos mayores ,2
207,Director hogar para adultos mayores,2
208,Gerente de  trabajo social,2
209,Gerente de  albergue / jóvenes,2
210,Director de albergue ,2
211,Director de centro social,2
212,Director de centro de rehabilitación ,2
213,Director de centro de bienestar social,2
214,Director de centro comunitario,2
215,Decano de universidad privada,2
216,Decano de universidad pública,2
217,Decano facultad de universidad privada,2
218,Decano facultad de universidad pública,2
219,Director de centro de educación privado,2
220,Director de centro de educación pública,2
221,Director de centro de educación público,2
222,Director de centro de enseñanza especial pública,2
223,Director de centro de enseñanza secundaria pública,2
224,Director de centro de enseñanza de general básica / pública,2
225,Director de centro de enseñanza preescolar pública,2
